id,screen_name,description,name,url,location,followers_count,friends_count,statuses_count,
3102024130,seeficaz,¿Te has quejado alguna vez de la falta de tiempo? Pues entonces deberías de leer este libro para poder exprimir la vida a tope,Gestión del tiempo,http://t.co/5YszF9aI4m,,2643,2694,45,
3499581921,b_gyarmath,Choose an interest. Build a Website. Attract Visitors. Earn Revenue. Get Started right now for FREE:http://t.co/j9S7RpZD25,b_gyarmath,None,,12321,12264,174,
2207606742,enriquednicolas,#IBMer ⇆ https://t.co/M51BBRgqt2 #digitalsales #WatsonAnalytics #socialmedia #journalist #sports #foodie #traveller love @Atleti my views are my own,Enrique de Nicolás ㋡,https://t.co/vRJ4byGEMm,Dublin / Madrid,28070,20976,37957,
3307152613,PR_crowdfund,We are passionate about the #crowdfunding industry and helping people reach their fundraising goals. #PR,Crowdfunding PR,http://t.co/m7mTTH858p,"Santa Monica, CA",4339,801,1267,
3416941697,IoTNewsToday,Online community for those interested in #IoT. Our featured #IoT read: https://t.co/EG73waGr1r,IoT News,https://t.co/EG73waGr1r,New York,5079,5410,670,
3046284631,dalaradesign,"Los Angeles based Interior Designer and decorator specializing in high-end residential design. #interior #design, #FIDM #Graduate, #Owner at Dalara Design, LLC",Dalara Design,http://t.co/DkjZx6TggE,"Santa Monica, CA",7553,6937,10650,
1932259718,sene3583,"beni takip edin, yolu biliyorum :)",sssssssss,None,Turkey,1259,4671,815,
2650996669,TheIBMMSPTeam,Teaming w/ IBM to capitalise on new market opportunities for Managed Service Providers. Managed by @gabsalzano & @PetraBernhardt  Follows IBM Social Guidelines.,The IBM MSP Team,http://t.co/MTPL3dtZIl,"London, UK",18192,10452,28846,
2244690326,AnalyticsPeople,"Connecting people, opportunity, & resources for #Analytics Become a featured Author with us: https://t.co/c4ON10SDbO …",The Analytics People,https://t.co/vF69qvkjSY,,177,1168,14,
9689982,arvindcg,"Mobile/Web Java, Python, , Chess, Music, Entreprenurship, Opensource, UX , Guitar",Arvind Gupta,None,India,1038,1766,1525,
